experience,skills,quiz,selected
6,14,68,1
19,11,70,1
14,12,53,0
10,13,89,0
7,8,75,0
20,18,48,1
6,1,97,0
18,15,71,1
10,8,61,0
10,11,68,1
20,12,65,1
3,12,65,0
7,4,32,0
2,16,37,0
20,4,99,1
1,5,70,0
11,5,97,0
5,8,42,0
1,10,78,0
20,17,89,1
0,9,31,0
11,19,89,1
11,14,34,0
16,8,73,1
9,9,56,1
15,11,61,0
14,1,50,0
14,14,37,0
18,5,79,1
11,14,96,1
19,4,73,0
2,1,87,0
4,19,32,0
18,8,99,1
6,15,31,0
20,15,73,1
8,9,31,0
6,9,64,0
17,10,59,1
3,20,37,0
13,9,51,0
17,3,73,1
8,20,87,1
20,11,65,1
1,6,98,0
19,2,60,0
14,7,76,0
6,18,84,1
11,2,91,0
7,17,59,1
14,11,84,1
2,12,45,0
13,19,41,0
16,7,46,0
3,20,45,0
17,6,41,0
7,1,37,0
3,17,32,0
1,11,45,0
5,18,59,1
9,17,52,0
3,7,34,0
17,17,94,1
11,20,59,1
1,9,50,0
9,17,99,1
3,20,51,1
13,8,61,1
15,17,62,1
14,7,45,0
7,1,67,0
13,13,43,0
7,19,65,0
20,19,52,1
15,17,95,1
12,13,31,0
17,16,94,1
14,8,96,1
20,19,81,1
12,18,91,1
8,1,52,0
14,14,55,1
12,19,97,1
0,15,84,1
6,18,35,0
8,2,64,0
0,17,51,1
11,18,72,1
7,6,44,0
10,19,89,1
18,4,41,0
16,1,78,0
7,8,71,0
2,7,67,0
2,3,74,0
0,10,64,0
4,10,59,0
9,19,59,1
6,14,35,0
8,2,96,0
6,1,36,0
8,18,81,1
7,7,43,0
11,8,44,0
1,1,50,0
0,3,64,0
15,8,95,1
4,15,31,0
2,5,64,0
11,3,49,0
7,19,39,1
2,1,54,0
0,15,95,1
2,8,54,0
4,2,83,0
14,3,62,0
13,14,65,1
2,14,43,0
0,11,94,0
4,16,83,1
13,4,81,0
6,20,32,0
8,5,70,0
14,14,35,0
14,16,54,1
9,18,42,0
12,7,37,0
18,10,50,0
6,7,97,1
16,1,54,0
19,19,97,1
3,16,74,0
4,19,89,0
6,4,41,0
12,18,61,1
14,2,42,0
10,1,60,0
3,15,49,0
12,5,47,0
6,20,89,1
18,11,92,0
1,10,35,0
9,2,61,0
12,3,72,0
20,12,31,0
5,20,89,1
11,5,52,0
11,5,60,0
19,6,34,0
10,9,63,0
6,2,39,0
0,12,31,0
0,3,40,0
19,20,79,1
12,12,60,0
8,17,85,1
2,10,38,0
6,14,50,0
5,17,57,0
7,18,91,1
8,19,36,0
4,17,45,0
0,14,33,0
18,9,33,0
9,8,69,0
11,2,46,0
14,13,81,1
8,7,81,0
19,9,65,1
16,11,67,0
16,14,79,1
19,4,92,0
11,13,92,0
6,2,91,0
1,5,36,0
2,11,56,0
16,6,43,0
4,18,100,1
16,10,34,0
16,4,84,0
16,9,31,0
1,6,91,0
1,2,50,0
4,17,50,0
0,5,39,0
0,6,87,0
18,12,68,1
1,10,34,0
20,6,94,1
11,8,42,0
5,2,82,0
3,12,74,1
10,13,61,0
16,7,65,1
5,10,89,1
4,13,40,0
19,17,92,1
1,14,50,0
5,2,81,0
10,11,84,0
15,1,55,0
15,19,97,1
0,4,63,0
8,19,81,1
5,11,81,0
15,8,58,0
2,11,67,0
19,4,71,1
3,17,50,1
18,7,71,1
2,8,42,0
18,3,93,1
19,2,46,0
6,15,38,0
19,5,70,1
8,1,30,0
0,4,31,0
7,15,89,0
6,20,77,1
17,19,58,1
7,3,39,0
0,20,87,1
10,11,89,1
17,17,50,1
9,13,57,0
2,11,63,0
6,2,37,0
15,9,88,1
15,2,78,0
19,9,46,0
16,9,89,0
1,8,74,0
0,17,98,1
15,1,61,0
11,11,73,1
4,8,94,0
4,10,37,0
8,7,72,0
8,3,30,0
2,3,80,0
18,18,53,0
15,5,53,0
15,12,46,1
2,12,34,0
19,19,49,1
0,6,50,0
19,2,87,1
10,12,60,0
16,19,40,0
7,5,81,0
3,12,44,0
5,17,36,0
7,17,57,0
19,10,80,1
2,17,87,1
15,15,34,0
2,12,34,0
17,16,37,0
13,19,93,1
17,8,39,0
1,17,67,0
2,5,37,0
15,16,54,1
8,6,95,1
3,8,79,0
0,18,96,0
3,12,78,0
0,15,65,0
13,9,97,1
20,13,70,1
15,15,91,1
19,10,39,0
7,16,50,0
6,7,65,0
2,17,41,0
16,7,31,0
0,14,42,0
15,15,82,1
11,7,61,0
18,9,45,0
13,19,61,1
5,16,61,0
5,8,40,0
12,18,39,0
18,18,44,1
7,20,46,0
1,7,69,0
20,3,47,0
0,18,84,1
14,10,54,0
0,7,88,0
4,17,51,0
15,14,59,0
18,3,73,1
3,12,61,0
2,13,80,0
16,2,75,0
16,3,50,0
11,5,61,0
13,11,68,0
20,8,41,0
5,12,76,0
2,7,47,0
8,15,50,0
4,17,42,0
16,4,50,0
13,13,37,0
20,18,75,1
2,1,36,0
0,16,52,0
19,13,51,0
20,10,51,0
0,12,58,0
2,2,42,0
17,3,31,0
9,10,58,0
2,2,81,0
7,13,56,0
13,13,79,1
17,18,52,1
14,3,73,0
1,7,51,0
9,14,72,0
1,20,66,0
16,17,90,1
7,12,85,0
0,16,32,0
8,12,92,1
10,15,48,0
15,10,52,0
6,7,58,0
9,20,59,1
2,5,68,0
17,1,54,0
12,17,37,0
6,3,87,0
3,13,45,0
12,14,30,0
19,18,34,1
0,4,32,0
7,18,94,1
13,5,33,0
15,16,93,1
13,1,39,0
11,14,50,0
18,15,75,1
14,9,56,0
1,15,95,1
1,17,70,1
18,4,42,0
16,12,38,0
19,5,65,0
9,5,87,0
5,11,83,1
14,6,41,0
10,7,43,0
4,14,63,0
0,11,82,0
7,13,49,0
20,2,45,0
11,7,99,1
11,20,85,1
4,4,87,0
6,8,33,0
3,20,33,0
5,19,49,0
12,13,39,0
19,14,53,0
14,10,55,0
2,11,66,0
7,2,83,0
19,9,50,0
15,17,67,1
12,3,75,0
17,6,33,0
9,5,89,0
18,5,86,1
16,15,74,1
18,17,49,0
4,9,46,0
20,3,100,1
8,20,33,0
11,17,43,0
20,10,32,0
0,3,87,0
0,18,84,0
14,18,33,1
1,17,53,0
15,3,63,0
7,3,59,0
12,6,48,0
20,13,60,0
0,15,89,0
15,9,89,1
6,4,48,0
4,14,78,1
2,5,92,0
11,2,51,0
15,11,53,0
18,9,59,1
4,3,87,0
13,9,60,1
4,3,93,0
14,2,48,0
16,12,77,1
13,10,74,0
19,9,84,1
4,15,84,0
11,8,47,0
15,5,92,1
15,11,76,0
20,2,86,1
6,15,74,1
3,6,62,0
0,8,46,0
4,5,99,0
9,16,33,0
4,18,49,0
3,6,76,0
1,5,44,0
19,16,99,1
9,13,76,0
18,5,38,0
0,13,45,0
4,17,98,1
12,18,90,1
3,8,39,0
15,13,79,1
15,19,32,0
1,3,99,0
16,8,80,1
19,2,48,0
11,8,71,0
17,13,64,1
2,13,75,0
0,1,55,0
0,6,98,0
18,19,93,1
10,16,66,1
4,8,78,0
11,1,50,0
2,16,93,1
0,9,34,0
0,13,99,1
7,11,33,0
9,13,68,0
10,10,64,0
11,4,30,0
12,6,53,0
11,7,86,0
13,5,99,1
1,11,70,1
18,13,83,1
17,19,75,1
2,10,89,1
16,10,89,1
7,11,86,1
9,7,60,0
1,18,53,0
18,4,65,0
8,2,59,0
6,14,53,1
3,13,59,0
20,12,36,0
17,7,64,1
12,2,84,0
10,13,43,0
3,14,39,0
20,17,45,1
3,9,83,0
9,17,99,1
4,8,73,1
8,2,74,0
2,13,85,0
16,3,86,0
2,16,50,0
15,6,97,1
3,19,79,1
17,7,62,0
16,10,36,0
6,9,99,1
4,2,44,0
11,15,61,1
16,5,49,0
12,4,44,0
2,20,77,1
8,4,100,1
16,18,50,0
16,4,71,1
19,17,55,1
15,12,43,0
12,17,86,1
18,10,66,1
16,1,87,0
3,18,50,0
11,18,98,1
8,14,32,0
18,15,66,1
11,12,78,0
8,4,48,0
6,3,41,0
13,20,90,1
19,12,70,1
18,7,62,0
14,11,79,1
15,1,97,1
20,6,100,1
4,15,62,0
2,15,53,0
11,19,90,1
19,11,90,1
20,2,57,0
3,14,87,0
20,2,72,1
15,4,70,0
6,17,68,1
12,3,78,0
20,13,46,1
9,9,99,0
6,7,99,0
13,15,94,1
4,11,34,0
2,20,31,0
10,2,51,0
10,15,86,1
17,14,95,1
14,20,45,1
11,11,80,0
8,3,68,0
9,17,69,1
11,12,67,1
16,15,89,1
5,16,88,1
6,5,39,0
13,20,93,1
12,6,92,0
7,19,78,1
9,5,93,1
8,3,61,0
17,1,36,0
1,6,50,0
4,15,49,0
4,2,55,0
5,3,97,0
18,17,44,1
7,12,43,0
15,18,56,1
12,15,69,1
0,12,87,1
19,16,57,1
16,8,55,1
6,14,92,1
12,17,95,1
3,8,54,0
3,15,32,0
5,14,73,0
18,18,71,1
11,20,35,1
6,7,68,0
9,3,81,0
18,12,52,0
6,3,79,0
2,20,72,0
12,14,48,0
12,15,98,1
17,14,80,1
19,7,40,0
7,17,41,0
8,12,37,0
6,20,53,1
0,4,70,0
2,9,65,0
12,6,84,0
16,16,38,0
0,2,76,0
5,8,44,0
20,11,77,1
5,13,71,0
11,17,89,1
12,8,99,0
12,18,41,1
14,18,31,0
20,14,36,0
15,15,32,1
20,6,32,0
10,11,56,0
4,13,69,0
3,1,62,0
2,6,30,0
18,9,37,0
19,8,61,1
17,11,77,1
14,19,33,0
8,9,99,1
16,17,48,0
13,12,61,0
14,14,38,0
0,15,41,0
20,16,40,1
2,20,75,0
15,1,45,0
10,10,30,0
11,8,92,1
9,18,50,0
15,1,59,0
7,2,42,0
5,1,63,0
11,1,33,0
20,9,57,0
7,13,88,0
3,1,56,0
7,13,98,1
17,20,54,1
4,7,32,0
8,2,97,0
3,6,54,0
16,7,49,0
8,14,63,0
0,18,55,0
20,15,34,0
19,2,90,1
12,10,38,0
15,12,79,1
12,17,35,0
13,8,89,0
2,11,73,1
5,3,40,0
17,6,95,1
18,9,76,1
4,6,32,0
14,9,59,0
1,7,50,0
9,9,57,0
17,18,91,1
12,12,62,0
4,8,64,0
0,8,81,0
0,18,63,0
17,20,70,1
14,15,80,1
16,7,76,0
10,11,87,1
20,20,86,1
16,16,52,1
12,4,77,1
0,6,51,0
1,3,46,0
8,9,98,1
2,10,40,0
0,14,44,0
20,11,64,1
15,18,62,1
5,12,45,0
16,12,63,0
4,13,95,0
4,13,69,0
5,19,57,1
2,19,76,1
20,14,68,1
4,4,99,1
20,13,49,0
4,8,30,0
9,19,92,1
9,12,96,1
18,18,33,1
16,6,87,0
20,18,54,1
13,19,76,1
8,5,67,0
13,9,44,0
0,3,92,0
18,10,50,1
12,19,86,1
12,3,82,1
3,15,75,1
0,1,43,0
16,7,46,0
7,12,68,0
1,17,38,0
7,20,35,0
6,5,52,0
1,4,88,0
2,12,75,0
17,20,67,1
11,18,43,0
0,17,91,1
11,19,64,1
4,9,48,0
16,4,59,0
15,2,54,0
14,4,69,0
14,2,43,0
4,15,55,0
20,2,51,0
13,4,77,0
1,6,80,0
10,7,32,0
18,10,71,1
6,19,48,0
5,19,57,1
1,12,74,0
5,3,100,1
17,13,92,1
1,18,48,0
17,8,76,0
14,15,43,0
18,1,67,0
1,3,82,0
19,8,90,1
5,4,65,0
0,16,69,1
14,10,59,0
9,12,38,0
18,14,93,1
16,14,62,1
4,2,81,0
3,5,43,0
9,5,82,0
16,6,88,1
9,13,70,1
16,9,97,1
19,15,97,1
4,14,37,0
1,7,31,0
5,20,70,1
20,2,84,1
1,7,45,0
12,6,91,0
10,17,77,1
10,2,59,0
15,3,41,0
10,5,64,0
18,5,40,0
14,1,93,1
15,8,79,1
10,12,50,0
15,4,98,0
7,13,77,1
3,15,49,0
7,11,96,1
3,10,73,0
2,3,62,0
2,14,90,1
17,16,38,0
18,10,97,1
18,10,64,0
20,12,94,1
4,9,37,0
17,1,74,0
9,5,76,0
20,20,69,1
5,8,83,0
0,11,75,0
4,12,76,0
8,1,44,0
11,20,48,1
13,11,55,1
1,5,81,0
16,15,51,0
13,5,50,0
12,12,80,1
8,5,67,0
14,17,49,0
14,17,58,1
10,12,80,1
15,15,33,0
16,15,84,1
3,6,100,1
0,12,57,0
7,20,33,0
16,18,51,1
2,14,74,1
19,2,96,1
14,9,95,1
14,5,63,0
13,20,84,1
13,1,30,0
1,3,67,0
12,6,35,0
13,5,54,0
18,5,46,0
6,1,90,0
2,17,41,0
14,19,35,1
13,14,56,0
10,12,37,0
14,10,94,1
12,20,86,1
17,18,69,1
5,11,43,0
2,2,64,0
18,18,77,1
14,7,85,0
4,15,78,0
9,11,42,0
6,18,90,1
16,12,78,1
6,6,75,0
11,20,91,1
16,13,37,0
12,20,72,1
19,16,49,1
3,18,68,1
9,10,78,0
2,8,93,0
8,18,91,1
12,1,83,0
17,8,38,0
14,6,66,0
3,5,78,0
14,15,70,0
1,15,46,0
14,2,50,0
7,1,80,0
7,11,88,1
16,10,68,1
11,18,84,1
18,18,70,1
9,17,68,1
8,8,42,0
4,15,93,1
5,8,40,0
19,17,48,1
1,12,40,0
12,8,75,1
5,14,74,1
4,4,30,0
0,1,69,0
20,1,48,0
20,19,90,1
5,16,41,0
5,14,90,1
15,16,62,1
3,5,74,0
10,9,98,1
8,2,37,0
2,18,54,0
18,6,75,0
7,9,59,0
4,1,76,0
3,9,78,0
5,16,76,1
1,13,47,0
19,9,95,1
10,13,97,1
3,9,62,0
14,11,65,0
5,4,48,0
16,2,57,0
5,6,69,0
18,14,44,0
1,4,70,0
14,6,68,0
10,19,31,0
7,6,92,0
18,2,58,0
12,18,95,1
11,13,80,1
4,9,39,0
5,19,43,0
3,13,80,0
18,11,68,1
19,1,57,0
0,7,32,0
19,15,99,1
16,1,56,0
11,12,31,0
14,7,67,0
0,15,32,0
13,19,45,0
5,1,69,0
4,17,31,0
10,17,70,1
3,3,41,0
12,12,64,1
10,6,94,0
2,11,84,1
0,3,74,0
5,8,91,0
17,14,78,1
9,14,54,0
4,10,52,0
9,2,53,0
11,14,67,1
1,9,57,0
12,3,50,0
7,8,83,1
1,16,47,0
19,2,65,0
0,6,74,0
4,12,82,0
8,5,59,0
16,2,89,0
8,16,61,0
10,5,96,0
14,15,96,1
5,12,57,0
2,4,73,0
16,15,70,1
4,11,92,1
11,16,52,1
17,6,77,0
13,14,61,1
20,18,86,1
10,12,62,0
8,11,53,0
1,13,68,0
11,11,63,1
2,16,85,1
2,15,57,0
0,15,66,0
7,4,36,0
7,11,97,1
10,19,66,0
8,15,85,1
4,4,94,0
13,13,94,1
2,19,76,1
20,2,49,0
4,14,48,0
4,4,58,0
18,16,89,1
13,20,47,1
3,14,64,0
12,15,72,1
9,3,40,0
17,8,78,1
7,16,67,1
7,10,93,1
6,4,98,1
7,18,37,1
13,2,63,0
18,17,77,1
5,13,85,1
0,4,94,0
14,11,60,1
0,7,33,0
16,12,79,1
0,10,98,1
14,7,59,0
1,13,88,0
13,7,96,1
20,17,74,1
7,10,33,0
7,10,55,0
18,4,56,0
6,20,75,1
18,4,93,0
5,7,80,0
5,1,79,0
2,12,35,0
6,13,88,1
18,10,44,0
7,15,59,0
9,13,71,1
19,9,66,0
14,9,71,0
14,15,64,1
0,10,35,0
19,10,97,1
6,8,47,0
3,16,58,0
5,17,88,0
0,5,76,0
4,4,46,0
0,18,51,0
3,19,97,1
1,4,98,0
9,7,66,0
4,10,78,1
9,18,42,0
0,19,63,0
5,4,82,0
12,10,80,0
14,1,32,0
3,18,71,0
12,5,61,0
19,15,80,1
14,17,75,1
7,3,50,0
4,12,73,0
14,2,40,0
3,1,97,0
11,17,30,1
12,16,92,0
1,5,53,0
18,15,42,0
18,3,40,0
3,7,80,1
3,11,46,0
10,10,53,0
4,9,48,0
19,14,66,1
10,13,37,0
9,2,57,0
7,3,34,0
5,7,46,0
5,18,65,0
7,3,48,0
14,10,93,1
